timestamp,entity_type,entity_id,zone,x,y,z,status,task,assigned_to,battery_level,speed,metadata
2026-04-15T08:00:00Z,worker,W-001,Zone-A,190,20,0,active,receiving,,,,"{""shift"": ""morning""}"
2026-04-15T08:00:00Z,worker,W-002,Zone-A,205,35,0,active,unloading,,,,"{""shift"": ""morning""}"
2026-04-15T08:00:00Z,worker,W-003,Zone-B1,204,95,0,active,stocking,Wave-10,,,"{""shift"": ""morning""}"
2026-04-15T08:00:00Z,worker,W-004,Zone-B2,245,105,0,active,organizing,,,,"{""shift"": ""morning""}"
2026-04-15T08:00:00Z,worker,W-005,Zone-B2,255,110,0,active,picking,Order-5001,,,"{""sku"": ""4472"", ""qty"": 24}"
2026-04-15T08:00:00Z,worker,W-006,Zone-B3,300,120,0,active,picking,Order-5002,,,"{""sku"": ""3301"", ""qty"": 12}"
2026-04-15T08:00:00Z,worker,W-007,Zone-D,320,25,0,active,staging,Order-5001,,,"{}"
2026-04-15T08:00:00Z,worker,W-008,Zone-D,340,35,0,idle,waiting,,,,"{}"
2026-04-15T08:00:00Z,forklift,FL-01,Zone-A,195,15,0,moving,transporting,Wave-10,85,3.2,"{""load_weight"": 800}"
2026-04-15T08:00:00Z,forklift,FL-02,Zone-B2,250,125,0,moving,transporting,Wave-11,72,2.8,"{""load_weight"": 1200}"
2026-04-15T08:00:00Z,forklift,FL-03,Dock-1,185,5,0,idle,standby,,45,0,"{}"
2026-04-15T08:00:00Z,pallet,PLT-1001,Zone-A,200,25,0,staged,awaiting_pickup,Wave-10,,,"{""sku"": ""5512"", ""qty"": 48}"
2026-04-15T08:00:00Z,pallet,PLT-1002,Zone-D,330,30,0,staged,awaiting_shipment,Order-5001,,,"{""sku"": ""4472"", ""qty"": 24}"
2026-04-15T08:00:00Z,inventory,INV-2001,Rack-B1,198,85,6,stored,available,,,,"{""sku"": ""2210"", ""qty"": 100, ""level"": 3}"
2026-04-15T08:00:00Z,inventory,INV-2002,Rack-B3,198,115,12,stored,available,,,,"{""sku"": ""7788"", ""qty"": 75, ""level"": 5}"
